PERMNO,2011-07-29,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-30,2012-01-31,2012-02-29,2012-03-30,2012-04-30,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-28,2013-04-30,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31
64995,-0.034814,-0.170398,-0.106928,0.190557,0.036827,0.05487,0.010403,0.046332,0.049383,-0.054118,-0.060945,0.032,0.031008,0.062657,0.036773,-0.036613,-0.034442,0.042079,0.116389,-0.001064,0.066028,0.001004,0.08676,0.024119,0.112319,-0.045195,-0.023136,0.099561,0.02154,0.052549,-0.04918,0.036442,0.081245,-0.042135,0.008431,0.046749,-0.055129,0.00997,-0.020573,-0.009752,0.027652,0.02963,-0.065468,0.077367,0.016511
65008,-0.130329,-0.395543,-0.262673,0.2775,-0.111546,-0.062775,0.197415,-0.140334,-0.049087,-0.162065,-0.352436,-0.168142,0.130319,-0.070588,-0.162025,-0.033233,0.00625,0.0,0.214286,0.02046,-0.087744,0.027501,0.403743,0.211429,0.077673,-0.101255,0.185065,0.09589,-0.045,-0.089005,0.389368,0.154085,0.090502,-0.297453,0.155556,0.237854,-0.200327,0.087935,0.005639,-0.015888,-0.159544,0.152542,-0.196078,0.319512,0.033272
65154,-0.048082,-0.05472,-0.150127,0.162425,-0.014166,-0.0516,0.130854,0.044458,-0.027405,-0.030576,-0.157699,0.075624,-0.029351,-0.094233,0.021739,0.005319,0.078609,0.108619,0.07775,-0.116129,-0.112143,0.038117,-0.033837,-0.119225,0.115059,-0.11912,0.043066,0.00578,0.189655,-0.00138,-0.114029,-0.044462,-0.028571,-0.061345,0.090421,0.158456,-0.074415,0.223583,-0.053191,0.011897,0.072502,0.070037,-0.117814,0.070323,-0.223629
65285,-0.20332,-0.145833,-0.256098,0.180328,-0.020833,0.028369,0.668966,0.144628,-0.115523,-0.183673,-0.065,0.550802,-0.2,0.258621,0.184931,0.242775,0.213953,0.340996,-0.184286,0.024518,-0.013675,-0.055459,0.126606,-0.086319,-0.046346,-0.037383,0.015534,-0.032505,0.013834,0.290448,-0.089124,0.006633,-0.220758,-0.057082,0.05157,0.098081,-0.223301,0.05,-0.12619,0.024523,0.143617,-0.039535,-0.16707,0.087209,-0.048128
65306,-0.023848,-0.055971,-0.124614,0.155884,0.10468,-0.0182,0.064152,-0.004969,0.025092,-0.012835,-0.058262,0.114776,-0.017726,0.014213,0.052236,0.041623,0.014374,0.0395,0.114839,0.022021,0.083762,0.006077,0.042284,-0.038066,0.074192,-0.021832,0.089461,-0.015323,-0.005641,0.046924,-0.011215,0.036767,0.002621,-0.124613,0.028159,0.071627,-0.082925,-0.002675,-0.003326,0.154985,0.000269,0.088695,-0.043804,0.02325,-0.009278
65307,-0.075152,-0.011385,-0.102687,0.213102,0.050289,0.040254,0.02831,-0.046344,0.097193,0.022719,-0.007904,0.031866,-0.017831,0.03434,0.041226,-0.057989,0.088147,0.019821,0.063011,-0.025633,0.038474,0.033091,0.022531,-0.035919,0.110363,-0.035755,0.065333,0.076243,0.022727,0.048232,-0.038545,0.055206,-0.000478,0.025335,0.009611,0.072208,-0.038112,0.066772,-0.028644,-0.004806,0.05298,0.063103,-0.051075,0.056206,-0.050643
65330,-0.101954,-0.032291,-0.096944,0.072734,-0.035273,-0.090464,0.059044,0.075383,0.022636,-0.066595,-0.023782,0.040472,-0.070155,0.002447,0.004068,0.036872,0.001962,0.011751,0.075039,0.030741,0.13193,-0.00902,0.099812,-0.111301,0.108997,-0.054376,0.02829,0.154306,0.016636,0.11506,-0.025989,0.085242,0.069843,-0.043842,0.041587,0.053849,-0.075229,0.03941,0.037307,0.019547,0.091346,-0.05674,0.038786,0.033009,-0.033351
65365,0.157588,-0.079832,-0.067096,0.203941,0.009002,0.006525,0.078606,0.000751,0.113363,0.120678,0.017544,0.02497,-0.041958,-0.099757,0.060811,-0.050576,0.008092,0.01883,-0.024422,-0.00406,-0.045516,0.061605,-0.007422,0.026513,0.297135,-0.046739,0.088362,-0.113874,0.140853,0.043478,-0.093277,0.122715,-0.067442,-0.061245,0.136364,-0.048471,-0.080139,0.066558,-0.098427,-0.153061,0.097724,0.081746,-0.053977,0.195195,-0.112312
65402,-0.015839,-0.052568,-0.18478,0.165158,0.056512,0.021905,0.062812,0.063089,-0.00465,0.062514,-0.030252,0.059142,0.014931,0.107042,0.051727,0.059611,0.035873,0.001906,0.101633,0.032477,0.02852,0.028544,0.039374,-0.07449,0.142227,0.017667,0.074911,0.145354,0.048403,-0.003878,-0.124583,0.055697,-0.074044,0.019339,0.056031,0.00405,-0.055063,0.050964,-0.036675,0.131557,0.010872,0.045986,0.053182,0.064131,0.041726
65541,-0.034326,-0.01595,0.051548,-0.124447,-0.116017,0.151159,0.023398,0.101747,0.028057,0.07906,-0.033912,-0.06363,-0.056043,0.114138,0.126535,0.016092,-0.010836,-0.025911,0.096237,0.046473,0.01716,0.023359,0.023641,0.053447,0.069971,0.025599,-0.007044,-0.003701,0.019581,-0.059967,0.003795,0.031622,0.071367,-0.039677,-0.021909,0.050457,0.187265,0.013364,-0.044654,0.052327,0.030506,-0.04032,-0.027207,0.040089,0.143014
